MAL_ID,Name,Score,Genres,English_name,Type,Episodes,Aired,Premiered,Studios,Source,Ranked,Popularity,Themes,Synopsis
2398,Digimon Adventure 02: Diablomon no Gyakushuu,7.28,"Adventure, Comedy, Drama, Kids, Sci-Fi",Digimon Adventure 02:Revenge of Diaboromon,Movie,1,"Mar 3, 2001",Unknown,Toei Animation,Original,2409,2339,,
3759,School Days: Valentine Days,5.91,"Comedy, Romance, School",Unknown,OVA,1,"Jan 17, 2008",Unknown,TNK,Visual novel,8497,2340,,
6633,Queen,6.58,"Action, Adventure, Ecchi, Fantasy",Queen,TV,12,"Sep 24, 2009 to Dec 10, 2009",Fall 2009,Arms,Other,5500,2341,,
9925,Amagami SS: Tachibana Miya-hen - Imouto,7.24,School,Amagami SS:Little Sister,Special,1,"Apr 29, 2011",Unknown,AIC,Visual novel,2600,2342,,
26023,Haiyore! Nyaruko-san F,7.5,"Sci-Fi, Comedy, Parody, Romance",Unknown,OVA,1,"Jun 19, 2015",Unknown,Xebec,Light novel,1576,2343,,
2951,Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,8.08,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Mecha, Shounen",Unknown,Special,1,"Sep 24, 2005",Unknown,Sunrise,Manga,436,2344,,
20517,Little Busters!: EX,7.74,"Slice of Life, Comedy, Supernatural, Drama, Romance, School",Little Busters! EX,Special,8,"Jan 29, 2014 to Jul 30, 2014",Unknown,J.C.Staff,Visual novel,938,2345,,
2030,El Cazador de la Bruja,7.24,"Adventure, Drama, Mystery",El Cazador de la Bruja,TV,26,"Apr 3, 2007 to Sep 25, 2007",Spring 2007,Bee Train,Original,2597,2346,,
32947,Battery,5.72,"Slice of Life, Sports, Drama",Unknown,TV,11,"Jul 15, 2016 to Sep 23, 2016",Summer 2016,Zero-G,Novel,9096,2347,,
21639,Yu☆Gi☆Oh! Arc-V,6.79,"Action, Game, Fantasy, Shounen",Yu-Gi-Oh! Arc-V,TV,148,"Apr 6, 2014 to Mar 26, 2017",Spring 2014,Gallop,Manga,4472,2348,,
